name,duration
index (480p_aac)_6.mp4,200.235067
index (896p)_3.mp4,201.295167
index (448p)_5.mp4,253.5
index (480p_aac).mp4,259.2234
index (896p).mp4,260.306667
index (480p_aac)_5.mp4,263.7304
index (480p_aac)_9.mp4,325.4704
fragmented_4.mp4,326.533333
fragmented_5.mp4,341.967667
index (480p_aac)_10.mp4,342.021746
index (448p)_13.mp4,356.950167
index (480p_aac)_14.mp4,357.044218
index (448p)_10.mp4,359.279667
index (480p_aac)_11.mp4,359.366259
index (896p)_2.mp4,449.350833
index (480p_aac)_2.mp4,449.480113
index (448p)_7.mp4,450.466333
index (480p_aac)_8.mp4,450.595079
index (480p_aac)_3.mp4,457.4053
index (448p)_3.mp4,458.395667
index (480p_aac)_13.mp4,462.401433
index (448p)_12.mp4,463.377833
fragmented_2.mp4,483.794667
index (480p_aac)_7.mp4,483.822018
index (480p_aac)_4.mp4,489.372381
index (448p)_4.mp4,489.414333
index (448p)_11.mp4,694.378
index (480p_aac)_12.mp4,694.399048
